"","X","X.1","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score","RCGY_predicted","bar_predicted"
"513",513,2034,317601,864774,3176,"Bellingham Old Orchards","Malbec Mourvèdre Tannat",99,NA,750,132,"2014-12-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Coastal Region. Paarl","Sydafrika","Douglas Green Bellingham","Fondberg",2013,2013,"14%","FSN",0,0,"Malbec. mourvèdre och tannat.","9 ","9 ","9 ","Malbec.mourvèdre.och.tannat","nyanserad.fruktig.smak.fatkaraktär.inslag.björnbär.svarta.oliver.viol.pappar.sötlakrits ","Nyanserad.fruktig.doft.fatkaraktär.inslag.björnbär.svarta.oliver.örter.sötlakrits",99,2.25,7.36111111111111
"514",514,2037,319801,865576,3198,"Kleine Zalze","Vineyard Selection Pinotage",79,NA,750,105.33,"2014-12-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Kleine Zalze","Winemarket Nordic AB",2013,2013,"14%","FSN",0,0,"Pinotage.","8 ","8 ","9 ","Pinotage","fruktig.smak.fatkaraktär.inslag.björnbär.svarta.vinbär.lakrits.mynta.kakao.vanilj ","Fruktig.doft.fatkaraktär.inslag.björnbär.svarta.vinbär.lakrits.örter.vanilj",99,2.25,6.08333333333333
"515",515,2039,320401,497350,3204,"Doppio Passo","Organic Primitivo",89,NA,750,118.67,"2010-05-10",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Plastkork/syntetkork","Apulien. Salento","Italien","Botter","The Wine Team",2013,2013,"13%","FS",1,0,"Primitivo.","8 ","6 ","9 ","Primitivo","mycket.fruktig.smak.sötma.inslag.russin.lakrits.örter.vanilj ","Fruktig.syltig.doft.inslag.russin.örter.lakrits",99,2.25,4.45833333333333
"516",516,2040,320406,728827,3204,"Doppio Passo","Primitivo",201,NA,1500,134,"2013-02-01",NA,"Rott vin","Magnum","","Apulien. Salento","Italien","Botter","The Wine Team",2011,NA,"13%","BS",0,0,"","8 ","6 ","9 ","Primitivo","mycket.fruktig.smak.sötma.inslag.russin.lakrits.örter.vanilj ","Fruktig.syltig.doft.inslag.russin.örter.lakrits",99,3.75,4.45833333333333
"517",517,2041,320408,678420,3204,"Doppio Passo","Primitivo",225,NA,3000,75,"2012-07-02",NA,"Rott vin","Box","","Apulien. Salento","Italien","Botter","The Wine Team",2013,NA,"13%","BS",1,0,"","8 ","6 ","9 ","Primitivo","mycket.fruktig.smak.sötma.inslag.russin.lakrits.örter.vanilj ","Fruktig.syltig.doft.inslag.russin.örter.lakrits",99,2.25,4.45833333333333
"518",518,2042,3213001,50120,32130,"Castello di Fonterutoli","",299,NA,750,398.67,"2004-09-06",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Toscana. Chianti. Chianti Classico","Italien","Marchesi Mazzei","The WineAgency Sweden AB",2010,2010,"14%","FS",0,0,"Sangiovese.","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,4.5,NA
"519",519,2043,3213002,408232,32130,"Castello di Fonterutoli","",159,NA,375,424,"2009-10-01",NA,"Rott vin","Flaska","Naturkork","Toscana. Chianti. Chianti Classico","Italien","Marchesi Mazzei","The WineAgency Sweden AB",2008,2008,"14%","BS",0,0,"Sangiovese.","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,4.25,NA
"520",520,2044,3213501,50268,32135,"DC","Shiraz Mourvèdre",62,NA,750,82.67,"2004-12-06",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape. Coastal Region. Darling","Sydafrika","Darling Cellars","Amka Vinimport AB",2011,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"521",521,2045,3214501,51540,32145,"Amarone della Valpolicella","Classico",399,NA,750,532,"2004-12-06",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella. Amarone della Valpolicella Classico","Italien","Zenato","Hjo Grosshandel AB",2009,2009,"16.5%","FS",0,0,"Huvudsakligen corvina.","11","10","10","Huvudsakligen.corvina","kryddigt.eldigt.viss.sötma.inslag.katrinplommon.romrussin.mintchoklad.kanel ","Stor.kryddig.doft.inslag.romrussin.mintchoklad.valnötter.kanel.sötlakrits",99,NA,5.83333333333333
"522",522,2047,3215201,257739,32152,"Tignanello","",529,NA,750,705.33,"2007-05-10",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Toscana","Italien","Marchesi Antinori","Sigva AB",2011,2011,"14.5%","FS",0,0,"80% sangiovese. 15% cabernet sauvignon och 5% cabernet franc.","10","10","10","80%.sangiovese.15%.cabernet.sauvignon.och.cabernet.franc","nyanserad.kryddig.smak.rostad.fatkaraktär.inslag.mörka.körsbär.plommon.dragon.kaffe.kakao ","Nyanserad.kryddig.doft.rostad.fatkaraktär.inslag.mörka.körsbär.plommon.dragon.viol.choklad",99,6.58333333333333,5.83333333333333
"523",523,2048,3215301,324034,32153,"Claude Val Rouge","",65,NA,750,86.67,"2008-04-01",NA,"Rott vin. Mjukt & Barigt","Flaska","Skruvkapsyl","Languedoc-Roussillon. VdP d'Oc","Frankrike","Domaines Claude Val","Bornicon & Salming",2013,2013,"13.5%","FS",0,0,"Grenache. carignan. syrah och merlot.","5 ","5 ","9 ","Grenache.carignan.syrah.och.merlot","ungdomlig.bärig.smak.inslag.skogsbär.örter.lakrits ","Ungdomlig.bärig.doft.inslag.skogsbär.muskot.lakrits",99,2.25,3.41666666666667
"524",524,2049,3215308,852281,32153,"Claude Val Rouge","",199,NA,3000,66.33,"2014-05-02",NA,"Rott vin","Box","","Languedoc-Roussillon. VdP d'Oc","Frankrike","Domaines Claude Val","Bornicon & Salming",2013,NA,"13.5%","BS",0,0,"","5 ","5 ","9 ","Grenache.carignan.syrah.och.merlot","ungdomlig.bärig.smak.inslag.skogsbär.örter.lakrits ","Ungdomlig.bärig.doft.inslag.skogsbär.muskot.lakrits",99,2.25,3.41666666666667
"525",525,2051,3215601,832055,32156,"Coste Della Sesia Nebbiolo","Travaglini Giancarlo",99,NA,750,132,"2014-06-02",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Piemonte. Coste Della Sesia","Italien","Travaglini Giancarlo S.A.","Amka Vinimport AB",2012,2012,"13.5%","FS",0,0,"Nebbiolo.","8 ","10","9 ","Nebbiolo","nyanserad.kryddig.smak.fatkaraktär.inslag.nypon.körsbär.salvia.nejlika.pomerans.lakrits ","Nyanserad.kryddig.doft.fatkaraktär.inslag.nypon.körsbär.nejlika.salvia.pomerans.lakrits",99,6.25,6.41666666666667
"526",526,2052,3215801,871248,32158,"Brunus","Blend",119,NA,750,158.67,"2014-12-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Montsant","Spanien","Portal del Montsant","Grapestyle Scandinavia",2011,2011,"15%","FSN",0,0,"56% cariñena. 33% garnacha. 5% syrah. 3.5% merlot och 2.5% cabernet sauvignon.","9 ","9 ","9 ","56%.cariñena.33%.garnacha.syrah.35%.merlot.och.25%.cabernet.sauvignon","nyanserad.fruktig.smak.fatkaraktär.inslag.mörka.körsbär.björnbär.choklad.vanilj.basilika ","Nyanserad.fruktig.doft.fatkaraktär.inslag.mörka.körsbär.blåbär.choklad.vanilj.basilika",99,3.75,7.36111111111111
"527",527,2053,3220501,34364,32205,"il Nostro","Rosso Puglia",59,NA,750,78.67,"2002-08-05",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Apulien","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"14%","FS",1,0,"90% negroamaro och 10% primitivo.","6 ","6 ","9 ","90%.negroamaro.och.10%.primitivo","mycket.fruktig.smak.inslag.mörka.kryddor.lakrits ","Fruktig.aningen.bränd.doft.inslag.mörka.kryddor.lakrits",99,2.25,6.70833333333333
"528",528,2054,3222401,40738,32224,"Zenato","Merlot",139,NA,750,185.33,"2003-06-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Venetien. Garda","Italien","Zenato","Hjo Grosshandel AB",2010,2010,"13.5%","FS",0,0,"Merlot","9 ","8 ","9 ","Merlot","nyanserad.fruktig.aningen.utvecklad.smak.fatkaraktär.inslag.mörka.körsbär.korinter.choklad.lavendel ","Nyanserad.fruktig.aningen.utvecklad.doft.fatkaraktär.inslag.korinter.plommon.lavendel.choklad.örter",99,2.25,6.69444444444444
"529",529,2055,3222801,41794,32228,"Selvarossa","Salice Salentino",69,NA,750,92,"2003-08-04",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Apulien. Salice Salentino","Italien","Cantine Due Palme","Enjoy Wine & Spirits AB",2011,2011,"14%","FS",0,0,"Malvasia nera och negroamaro","8 ","7 ","9 ","Malvasia.nera.och.negroamaro","mycket.fruktig.smak.inslag.plommon.korinter.vanilj.kanel ","Fruktig.kryddig.aningen.bränd.doft.inslag.korinter.mörka.körsbär.vanilj",99,3.75,7.41666666666667
"530",530,2056,3222901,42136,32229,"Fonterutoli","",149,NA,750,198.67,"2003-09-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Toscana. Chianti. Chianti Classico","Italien","Marchesi Mazzei","The WineAgency Sweden AB",2012,2012,"13.5%","FS",0,0,"Sangiovese.","9 ","9 ","9 ","Sangiovese","nyanserad.kryddig.smak.rostad.fatkaraktär.inslag.mörka.körsbär.salvia.plommon.choklad ","Nyanserad.kryddig.doft.rostad.fatkaraktär.inslag.mörka.körsbär.lavendel.choklad.tobak",99,6.5,7.36111111111111
"531",531,2059,3233501,21442,32335,"Antè","Barbera d'Asti",91,NA,750,121.33,"2000-01-03",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Piemonte. Barbera d'Asti","Italien","Ca'Bianca","Enjoy Wine & Spirits AB",NA,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"532",532,2060,3234101,21944,32341,"Le Tense","Sassella",137,NA,750,182.67,"2000-03-06",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Lombardiet. Valtellina. Valtellina Superiore","Italien","Nino Negri","Enjoy Wine & Spirits AB",2010,2010,"13.5%","FS",0,0,"Chiavennasca (nebbiolo).","8 ","9 ","9 ","Chiavennasca.(nebbiolo)","kryddig.nyanserad.smak.fatkaraktär.inslag.körsbär.salvia.kanel.nötter.rosor ","Kryddig.nyanserad.doft.fatkaraktär.inslag.körsbär.salvia.kanel.nötter.rosor",99,2.25,6.75
"533",533,2061,3236101,23550,32361,"Masi Brolo Campofiorin Oro","",159,NA,750,212,"2000-12-04",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Veronese","Italien","Masi","Philipson Soderberg AB",2010,2010,"14%","FS",0,0,"80% corvina och 20% rondinella.","9 ","9 ","9 ","80%.corvina.och.20%.rondinella","kryddig.smak.inslag.mörka.körsbär.kakao.lakrits.örter ","Kryddig.doft.inslag.mörka.körsbär.plommon.torkade.örter.lakrits",99,2.25,7.36111111111111
"534",534,2062,3236401,24248,32364,"Mauro","Primitivo Alberello",64,NA,750,85.33,"2000-06-05",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Apulien. Salento","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"14%","FS",0,0,"Primitivo.","7 ","7 ","9 ","Ingen anged","mycket.fruktig.smak.inslag.mörka.körsbär.vanilj ","Mycket.fruktig.aningen.bränd.doft.inslag.mörka.lakrits.choklad",99,2.25,6.70833333333333
"535",535,2063,3236402,193689,32364,"Mauro","Primitivo Alberello",37,NA,375,98.67,"2006-04-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Apulien. Salento","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"14%","FS",0,0,"","7 ","7 ","9 ","Ingen anged","mycket.fruktig.smak.inslag.mörka.körsbär.vanilj ","Mycket.fruktig.aningen.bränd.doft.inslag.mörka.lakrits.choklad",99,2.25,6.70833333333333
"536",536,2064,3236408,31888,32364,"Mauro","Primitivo Alberello",209,NA,3000,69.67,"2001-12-03",NA,"Rott vin. Fruktigt & Smakrikt","Box","Vingtapp","Apulien. Salento","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"13.5%","FS",0,0,"Primitivo.","7 ","7 ","9 ","Ingen anged","mycket.fruktig.smak.inslag.mörka.körsbär.vanilj ","Mycket.fruktig.aningen.bränd.doft.inslag.mörka.lakrits.choklad",99,2.25,6.70833333333333
"537",537,2065,3236701,24251,32367,"Canaletto","Zinfandel",79,NA,750,105.33,"2000-10-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Apulien","Italien","Casa Girelli","Chris-Wine AB",2011,2011,"13.5%","FS",0,0,"Primitivo.","6 ","6 ","9 ","Primitivo","fruktig.smak.inslag.mörka.körsbär.vanilj.mynta ","Fruktig.doft.inslag.mörka.lakrits.mynta",99,3.75,6.70833333333333
"538",538,2066,3240908,29186,32409,"il Conte","Appassimento Zinfandel Negroamaro",179,NA,3000,59.67,"2001-09-03",NA,"Rott vin. Fruktigt & Smakrikt","Box","Tryckknapp front","Apulien. Salento","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"13.5%","FS",0,0,"Primitivo 80%. negroamaro 20%","6 ","6 ","8 ","Primitivo.80%.negroamaro.20%","fruktig.smak.inslag.skogsbär.lakrits.vanilj ","Fruktig.doft.inslag.skogsbär.vanilj.lakrits",99,2.25,6.66666666666667
"539",539,2067,3241001,29242,32410,"Primicia","",69,NA,750,92,"2001-12-03",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Plastkork/syntetkork","Rioja","Spanien","Bodegas Primicia","Oenoforos AB",2013,2013,"13.5%","FS",0,0,"Tempranillo 90% och garnacha 10%","7 ","7 ","9 ","Tempranillo.90%.och.garnacha.10%","kryddig.smak.inslag.björnbär.jordgubbar.örter.vanilj ","Kryddig.doft.inslag.björnbär.jordgubbar.örter.vanilj",99,2.25,6.70833333333333
"540",540,2068,3241108,30230,32411,"Allegro","Sangiovese Primitivo",219,NA,3000,73,"2001-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Box","Vingtapp","Apulien","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"13.5%","FS",0,0,"Sangiovese 80% och primitivo 20%.","8 ","7 ","9 ","Sangiovese.80%.och.primitivo.20%","mycket.fruktig.smak.inslag.mörka.körsbär.örter.vanilj ","Mycket.fruktig.doft.inslag.mörka.timjan.choklad",99,2.25,7.41666666666667
"541",541,2069,3241201,29244,32412,"Allegro","Primitivo",69,NA,750,92,"2001-11-05",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Apulien","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"14.5%","FS",0,0,"Primitivo.","7 ","7 ","9 ","Primitivo","mycket.fruktig.smak.inslag.mörka.choklad.viol.vanilj ","Fruktig.doft.inslag.mörka.körsbär.viol.choklad.vanilj",99,2.25,6.70833333333333
"542",542,2070,3241701,30144,32417,"Villa Puccini","",87,NA,750,116,"2001-09-03",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Toscana","Italien","Villa Puccini","Nigab",2010,2010,"12.5%","FS",0,0,"Sangiovese 90%. merlot 10%","9 ","9 ","10","90%.sangiovese.och.10%.merlot","kryddig.nyanserad.smak.fatkaraktär.inslag.mörka.körsbär.plommon.choklad.örter ","Kryddig.fruktig.doft.fatkaraktär.inslag.mörka.körsbär.örter.choklad.plommon.lakrits",99,6.08333333333333,7.77777777777778
"543",543,2071,3241702,43561,32417,"Villa Puccini","",50,NA,375,133.33,"2003-11-03",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Toscana","Italien","Villa Puccini","Nigab",2010,2010,"12.6%","FS",0,0,"","9 ","9 ","10","90%.sangiovese.och.10%.merlot","kryddig.nyanserad.smak.fatkaraktär.inslag.mörka.körsbär.plommon.choklad.örter ","Kryddig.fruktig.doft.fatkaraktär.inslag.mörka.körsbär.örter.choklad.plommon.lakrits",99,6.08333333333333,7.77777777777778
"544",544,2072,3241706,43560,32417,"Villa Puccini","",166,NA,1500,110.67,"2003-11-03",NA,"Rott vin. Kryddigt & Mustigt","Magnum","Naturkork","Toscana","Italien","Villa Puccini","Nigab",2010,2010,"12.6%","FS",0,0,"","9 ","9 ","10","90%.sangiovese.och.10%.merlot","kryddig.nyanserad.smak.fatkaraktär.inslag.mörka.körsbär.plommon.choklad.örter ","Kryddig.fruktig.doft.fatkaraktär.inslag.mörka.körsbär.örter.choklad.plommon.lakrits",99,6.08333333333333,7.77777777777778
"545",545,2073,3243101,41807,32431,"Boira'","Sangiovese",89,NA,750,118.67,"2003-08-04",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Marche","Italien","Cantine Volpi","Bibendum",2013,2013,"13%","FS",1,0,"Sangiovese","7 ","7 ","9 ","Sangiovese","fruktig.smak.inslag.körsbär.choklad.vanilj ","Fruktig.doft.inslag.körsbär.choklad.vanilj.örter",99,2.25,6.70833333333333
"546",546,2074,3243106,800339,32431,"Boira","Sangiovese",179,NA,1500,119.33,"2013-11-01",NA,"Rott vin","Magnum","","Marche","Italien","Cantine Volpi","Bibendum",2013,NA,"13%","BS",1,0,"","7 ","7 ","9 ","Sangiovese","fruktig.smak.inslag.körsbär.choklad.vanilj ","Fruktig.doft.inslag.körsbär.choklad.vanilj.örter",99,2.25,6.70833333333333
"547",547,2075,3243108,883549,32431,"Boira","Sangiovese",239,NA,3000,79.67,"2014-09-01",NA,"Rott vin","Box","","Marche","Italien","Cantine Volpi srl","Bibendum",2013,NA,"13%","BS",1,0,"","7 ","7 ","9 ","Sangiovese","fruktig.smak.inslag.körsbär.choklad.vanilj ","Fruktig.doft.inslag.körsbär.choklad.vanilj.örter",99,2.25,6.70833333333333
"548",548,2076,3244401,37503,32444,"Masi Grandarella","Appassimento",199,NA,750,265.33,"2002-12-02",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Delle Venezie","Italien","Masi","Philipson Soderberg AB",2010,2010,"14.5%","FS",0,0,"75% refosco och 25% carmenère.","10","9 ","9 ","75%.refosco.och.25%.carmenère","nyanserad.kryddig.smak.inslag.mörka.körsbär.korinter.peppar.örter.choklad ","Nyanserad.kryddig.doft.inslag.mörka.körsbär.russin.choklad.salvia.lagerblad",99,2.25,5.70833333333333
"549",549,2077,3245201,39521,32452,"Raccolto","Nero d'Avola Cabernet Sauvignon",89,NA,750,118.67,"2003-04-07",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Sicilien","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"14%","FS",1,0,"60% nero d'avola. 40% cabernet sauvignon","7 ","7 ","9 ","60%.nero.d'avola.40%.cabernet.sauvignon","mycket.fruktig.aningen.bränd.smak.inslag.svarta.vinbär.körsbär.viol.lakrits ","Mycket.fruktig.aningen.bränd.doft.inslag.svarta.vinbär.körsbär.lakrits.vanilj",99,2.25,6.70833333333333
"550",550,2078,3245202,272731,32452,"Raccolto","Nero d'Avola Cabernet Sauvignon",47,NA,375,125.33,"2007-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Sicilien","Italien","Nordic Sea Winery","Oenoforos AB",2013,2013,"14%","FS",1,0,"60% nero d'avola. 40% cabernet sauvignon","7 ","7 ","9 ","60%.nero.d'avola.40%.cabernet.sauvignon","mycket.fruktig.aningen.bränd.smak.inslag.svarta.vinbär.körsbär.viol.lakrits ","Mycket.fruktig.aningen.bränd.doft.inslag.svarta.vinbär.körsbär.lakrits.vanilj",99,2.25,6.70833333333333
"551",551,2079,3247201,42014,32472,"Le Volte","",159,NA,750,212,"2003-11-03",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Toscana","Italien","Ornellaia","Carovin AB",2012,2012,"13.5%","FS",0,0,"50% merlot. 30% sangiovese och 20% cabernet sauvignon.","9 ","9 ","9 ","50%.merlot.30%.sangiovese.och.20%.cabernet.sauvignon","nyanserad.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.örter.björnbär.ceder.kakao ","Nyanserad.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.björnbär.salvia.choklad.pinjenötter",99,7.41666666666667,7.36111111111111
"552",552,2080,3247208,794140,32472,"Le Volte","",839,NA,3000,279.67,"2013-10-01",NA,"Rott vin","Flaska","Naturkork","Toscana","Italien","Ornellaia","Carovin AB",2012,NA,"14%","BS",0,0,"","9 ","9 ","9 ","50%.merlot.30%.sangiovese.och.20%.cabernet.sauvignon","nyanserad.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.örter.björnbär.ceder.kakao ","Nyanserad.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.björnbär.salvia.choklad.pinjenötter",99,7.41666666666667,7.36111111111111
"553",553,2082,330001,507546,3300,"Passitivo","Primitivo",89,NA,750,118.67,"2010-06-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Plastkork/syntetkork","Apulien","Italien","Cantine Paolo Leo","WineWorld AB",2012,2012,"14.5%","FS",0,0,"Primitivo.","9 ","7 ","9 ","Primitivo","generöst.fruktig.smak.inslag.mörka.körsbär.lavendel.katrinplommon.vanilj ","Mycket.fruktig.doft.inslag.mörka.körsbär.lavendel.katrinplommon.vanilj",99,6.25,8.02777777777778
"554",554,2085,330201,659278,3302,"Raccolto","Appassimento",89,NA,750,118.67,"2012-04-10",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Plastkork/syntetkork","Venetien","Italien","Nordic Sea Winery","Oenoforos AB",2012,2012,"14%","FS",0,0,"","9 ","8 ","9 ","Ingen anged","kryddig.fruktig.smak.fatkaraktär.inslag.mörka.körsbär.plommon.örter.kakao.vanilj ","Kryddig.fruktig.doft.fatkaraktär.inslag.mörka.körsbär.plommon.örter.mjölkchoklad",99,6.25,6.69444444444444
"555",555,2086,330501,864832,3305,"Tbilvino Saperavi","",85,NA,750,113.33,"2014-12-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Kakheti Region","Georgien","JSC Tibilvino","Amka Vinimport AB",2013,2013,"13%","FSN",0,0,"Saperavi.","9 ","8 ","9 ","Saperavi","smakrikt.fruktigt.inslag.björnbär.viol.svarta.oliver.örter.plommon ","Nyanserad.fruktig.doft.inslag.björnbär.viol.svarta.oliver.plommon",4,6.75,6.69444444444444
"556",556,2087,330901,865231,3309,"Ferngrove","Cabernet Sauvignon",99,NA,750,132,"2014-12-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Australia. Margaret River","Australien","Ferngrove Wines","Modern Wines Sweden AB",2013,2013,"14%","FSN",0,0,"Cabernet sauvignon.","10","9 ","9 ","Cabernet.sauvignon","nyanserad.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.björnbär.mynta.ceder.vanilj ","Nyanserad.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.björnbär.mintchoklad.vanilj.tobak",99,2.25,5.70833333333333
"557",557,2092,335906,49395,3359,"Château Noaillac","",239,NA,1500,159.33,"2004-12-06",NA,"Rott vin","Magnum","Naturkork","Bordeaux. Médoc","Frankrike","","Bornicon & Salming",2006,NA,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.25,NA
"558",558,2097,350101,637098,3501,"Epicuro","Riserva",85,NA,750,113.33,"2012-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Apulien. Salice Salentino","Italien","Femar Vini","Domaine Wines Sweden AB",2010,2010,"13.5%","FS",0,0,"Negroamaro och malvasia nera.","8 ","8 ","9 ","Negroamaro.och.malvasia.nera","kryddig.utvecklad.smak.fatkaraktär.inslag.korinter.salvia.mörk.choklad.vanilj ","Kryddig.utvecklad.doft.fatkaraktär.inslag.korinter.salvia.sötlakrits.gummi.vanilj",99,2.25,6.08333333333333
"559",559,2099,355001,25491,3550,"Château Labadie","",119,NA,750,158.67,"2000-11-06",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Bordeaux. Côtes de Bourg","Frankrike","","Hjo Grosshandel AB",2010,2010,"14.5%","FS",0,0,"Egendomen ar planterad med 60% merlot. 20% cabernet franc och 20% cabernet sauvignon.","9 ","9 ","9 ","Egendomen.planterad.med.60%.merlot.20%.cabernet.franc.och.20%.cabernet.sauvignon","nyanserad.smak.rostad.fatkaraktär.inslag.svarta.vinbär.plommon.mörk.choklad.ceder.kaffe ","Nyanserad.doft.rostad.fatkaraktär.inslag.svarta.vinbär.plommon.tobak.choklad.nötter",99,4,7.36111111111111
"560",560,2104,357001,27657,3570,"Château de Seguin","Cuvée Prestige",129,NA,750,172,"2001-09-03",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Bordeaux. Bordeaux Supérieur","Frankrike","","Chris-Wine AB",2012,2012,"13.5%","FS",0,0,"60% merlot. 37% cabernet sauvignon och 3% petit verdot.","9 ","8 ","9 ","60%.merlot.37%.cabernet.sauvignon.och.petit.verdot","fruktig.smak.rostad.fatkaraktär.inslag.plommon.svarta.vinbär.ceder.tobak ","Fruktig.doft.rostad.fatkaraktär.inslag.svarta.vinbär.plommon.ceder.örter.kaffe",99,6.75,6.69444444444444
"561",561,2124,381401,335819,3814,"Les Hauts de Granget","",165,NA,750,220,"2008-10-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Bordeaux. Saint-Emilion. Saint-Emilion Grand Cru","Frankrike","Union de Producteurs de Saint-Émilion","janake wine group AB",2010,2010,"14%","FS",0,0,"83% merlot. 11% cabernet franc och 6% cabernet sauvignon.","9 ","9 ","9 ","83%.merlot.11%.cabernet.franc.och.cabernet.sauvignon","nyanserad.stram.smak.karaktär.rostade.ekfat.inslag.svarta.vinbär.ceder.korinter.örter.kaffe.kakao ","Nyanserad.doft.karaktär.rostade.ekfat.inslag.korinter.svarta.vinbärtobak.kaffe.mörk.choklad",99,4,7.36111111111111
"562",562,2125,381406,850071,3814,"Les Hauts de Granget","Saint-Emilion Grand Cru",330,NA,1500,220,"2014-05-02",NA,"Rott vin","Magnum","","Bordeaux. Saint-Emilion. Saint-Emilion Grand Cru","Frankrike","Union de Producteurs de Saint-Émilion","janake wine group AB",2009,NA,"14%","BS",0,0,"","9 ","9 ","9 ","83%.merlot.11%.cabernet.franc.och.cabernet.sauvignon","nyanserad.stram.smak.karaktär.rostade.ekfat.inslag.svarta.vinbär.ceder.korinter.örter.kaffe.kakao ","Nyanserad.doft.karaktär.rostade.ekfat.inslag.korinter.svarta.vinbärtobak.kaffe.mörk.choklad",99,3.25,7.36111111111111
"563",563,2130,384301,758158,3843,"Château Mancèdre","",149,NA,750,198.67,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Bordeaux. Graves. Pessac-Léognan","Frankrike","","Stockholm Wine Importers AB",2010,NA,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,4,NA
